,coord1,coord2,volume,dii1,dii2,from,to
0,-74.75,-1.25,6.25,217929.28958888617,17102.00074037168,0,10
1,-74.75,-0.75,6.25,223659.2051915432,26173.70848428427,10,23
2,-74.75,-0.25,6.25,226530.80392716982,32648.213008344337,23,39
3,-74.75,0.25,6.25,226530.80392716982,32648.213008344337,39,55
4,-74.75,0.75,6.25,223659.2051915432,26173.70848428427,55,68
5,-74.75,1.25,6.25,217929.28958888617,17102.00074037168,68,78
6,-74.25,-1.25,6.25,336543.15488653386,22831.916343028774,78,91
7,-74.25,-0.75,6.25,345452.0176663767,35082.571264127095,91,108
8,-74.25,-0.25,6.25,349599.100614739,44108.04421365852,108,129
9,-74.25,0.25,6.25,349599.100614739,44108.04421365852,129,150
10,-74.25,0.75,6.25,345452.0176663767,35082.571264127095,150,167
11,-74.25,1.25,6.25,336543.15488653386,22831.916343028774,167,180
12,-73.75,-1.25,6.25,397788.7381874616,25703.515078655357,180,196
13,-73.75,-0.75,6.25,409248.56939277577,39229.65421248935,196,217
14,-73.75,-0.25,6.25,414991.766864029,49851.24168491167,217,243
15,-73.75,0.25,6.25,414991.766864029,49851.24168491167,243,269
16,-73.75,0.75,6.25,409248.56939277577,39229.65421248935,269,290
17,-73.75,1.25,6.25,397788.73818746157,25703.515078655357,290,306
18,-73.25,-1.25,6.25,435858.57917777234,25703.515078655357,306,323
19,-73.25,-0.75,6.25,447318.41038308654,39229.65421248935,323,345
20,-73.25,-0.25,6.25,453061.60785433976,49851.24168491167,345,372
21,-73.25,0.25,6.25,453061.60785433976,49851.24168491167,372,399
22,-73.25,0.75,6.25,447318.41038308654,39229.65421248935,399,421
23,-73.25,1.25,6.25,435858.57917777234,25703.515078655357,421,438
24,-72.75,-1.25,6.25,435858.57917777234,25703.515078655357,438,455
25,-72.75,-0.75,6.25,447318.41038308654,39229.65421248935,455,477
26,-72.75,-0.25,6.25,453061.60785433976,49851.24168491167,477,504
27,-72.75,0.25,6.25,453061.60785433976,49851.24168491167,504,531
28,-72.75,0.75,6.25,447318.41038308654,39229.65421248935,531,553
29,-72.75,1.25,6.25,435858.57917777234,25703.515078655357,553,570
30,-72.25,-1.25,6.25,435858.57917777234,25703.515078655357,570,587
31,-72.25,-0.75,6.25,447318.41038308654,39229.65421248935,587,609
32,-72.25,-0.25,6.25,453061.60785433976,49851.24168491167,609,636
33,-72.25,0.25,6.25,453061.60785433976,49851.24168491167,636,663
34,-72.25,0.75,6.25,447318.41038308654,39229.65421248935,663,685
35,-72.25,1.25,6.25,435858.57917777234,25703.515078655357,685,702
36,-71.75,-1.25,6.25,435858.57917777234,25703.515078655357,702,719
37,-71.75,-0.75,6.25,447318.41038308654,39229.65421248935,719,741
38,-71.75,-0.25,6.25,453061.60785433976,49851.24168491167,741,768
39,-71.75,0.25,6.25,453061.60785433976,49851.24168491167,768,795
40,-71.75,0.75,6.25,447318.41038308654,39229.65421248935,795,817
41,-71.75,1.25,6.25,435858.57917777234,25703.515078655357,817,834
42,-71.25,-1.25,6.25,435858.57917777234,25703.515078655357,834,851
43,-71.25,-0.75,6.25,447318.41038308654,39229.65421248935,851,873
44,-71.25,-0.25,6.25,453061.60785433976,49851.24168491167,873,900
45,-71.25,0.25,6.25,453061.60785433976,49851.24168491167,900,927
46,-71.25,0.75,6.25,447318.41038308654,39229.65421248935,927,949
47,-71.25,1.25,6.25,435858.57917777234,25703.515078655357,949,966
48,-70.75,-1.25,6.25,435858.57917777234,25703.515078655357,966,983
49,-70.75,-0.75,6.25,447318.41038308654,39229.65421248935,983,1005
50,-70.75,-0.25,6.25,453061.60785433976,49851.24168491167,1005,1032
51,-70.75,0.25,6.25,453061.60785433976,49851.24168491167,1032,1059
52,-70.75,0.75,6.25,447318.41038308654,39229.65421248935,1059,1081
53,-70.75,1.25,6.25,435858.57917777234,25703.515078655357,1081,1098
54,-70.25,-1.25,6.25,435858.57917777234,25703.515078655357,1098,1115
55,-70.25,-0.75,6.25,447318.41038308654,39229.65421248935,1115,1137
56,-70.25,-0.25,6.25,453061.60785433976,49851.24168491167,1137,1164
57,-70.25,0.25,6.25,453061.60785433976,49851.24168491167,1164,1191
58,-70.25,0.75,6.25,447318.41038308654,39229.65421248935,1191,1213
59,-70.25,1.25,6.25,435858.57917777234,25703.515078655357,1213,1230
60,-69.75,-1.25,6.25,435858.57917777234,25703.515078655357,1230,1247
61,-69.75,-0.75,6.25,447318.41038308654,39229.65421248935,1247,1269
62,-69.75,-0.25,6.25,453061.60785433976,49851.24168491167,1269,1296
63,-69.75,0.25,6.25,453061.60785433976,49851.24168491167,1296,1323
64,-69.75,0.75,6.25,447318.41038308654,39229.65421248935,1323,1345
65,-69.75,1.25,6.25,435858.57917777234,25703.515078655357,1345,1362
66,-69.25,-1.25,6.25,435858.57917777234,25703.515078655357,1362,1379
67,-69.25,-0.75,6.25,447318.41038308654,39229.65421248935,1379,1401
68,-69.25,-0.25,6.25,453061.60785433976,49851.24168491167,1401,1428
