,curr,other,a,b,d
0,0,1,-765.9372526818672,49.80335600716456,0.007433068786963155
1,0,2,-765.9372526818672,49.80335600716456,0.007433068786963155
2,0,3,-765.9372526818672,49.80335600716456,0.007433068786963155
3,0,6,-765.9372526818672,1212.4398540899258,0.007433068786963155
4,0,7,-765.9372526818672,68.04401277618013,0.007433068786963155
5,0,8,-765.9372526818672,68.04401277618013,0.007433068786963155
6,0,12,-765.9372526818672,1212.4398540899258,0.007433068786963155
7,0,13,-765.9372526818672,68.04401277618013,0.007433068786963155
8,0,14,-765.9372526818672,68.04401277618013,0.007433068786963155
9,0,18,-765.9372526818672,1212.4398540899258,0.007433068786963155
10,1,0,-765.9372526818672,49.80335600716456,0.007433068786963155
11,1,2,-765.9372526818672,49.80335600716456,0.007433068786963155
12,1,3,-765.9372526818672,49.80335600716456,0.007433068786963155
13,1,4,-765.9372526818672,49.80335600716456,0.007433068786963155
14,1,6,-765.9372526818672,68.04401277618013,0.007433068786963155
15,1,7,-765.9372526818672,1212.4398540899258,0.007433068786963155
16,1,8,-765.9372526818672,68.04401277618013,0.007433068786963155
17,1,9,-765.9372526818672,68.04401277618013,0.007433068786963155
18,1,12,-765.9372526818672,68.04401277618013,0.007433068786963155
19,1,13,-765.9372526818672,1212.4398540899258,0.007433068786963155
20,1,14,-765.9372526818672,68.04401277618013,0.007433068786963155
21,1,15,-765.9372526818672,68.04401277618013,0.007433068786963155
22,1,19,-765.9372526818672,1212.4398540899258,0.007433068786963155
23,2,0,-765.9372526818672,49.80335600716456,0.007433068786963155
24,2,1,-765.9372526818672,49.80335600716456,0.007433068786963155
25,2,3,-765.9372526818672,49.80335600716456,0.007433068786963155
26,2,4,-765.9372526818672,49.80335600716456,0.007433068786963155
27,2,5,-765.9372526818672,49.80335600716456,0.007433068786963155
28,2,6,-765.9372526818672,68.04401277618013,0.007433068786963155
29,2,7,-765.9372526818672,68.04401277618013,0.007433068786963155
30,2,8,-765.9372526818672,1212.4398540899258,0.007433068786963155
31,2,9,-765.9372526818672,68.04401277618013,0.007433068786963155
32,2,10,-765.9372526818672,68.04401277618013,0.007433068786963155
33,2,12,-765.9372526818672,68.04401277618013,0.007433068786963155
34,2,13,-765.9372526818672,68.04401277618013,0.007433068786963155
35,2,14,-765.9372526818672,1212.4398540899258,0.007433068786963155
36,2,15,-765.9372526818672,68.04401277618013,0.007433068786963155
37,2,16,-765.9372526818672,68.04401277618013,0.007433068786963155
38,2,20,-765.9372526818672,1212.4398540899258,0.007433068786963155
39,3,0,-765.9372526818672,49.80335600716456,0.007433068786963155
40,3,1,-765.9372526818672,49.80335600716456,0.007433068786963155
41,3,2,-765.9372526818672,49.80335600716456,0.007433068786963155
42,3,4,-765.9372526818672,49.80335600716456,0.007433068786963155
43,3,5,-765.9372526818672,49.80335600716456,0.007433068786963155
44,3,7,-765.9372526818672,68.04401277618013,0.007433068786963155
45,3,8,-765.9372526818672,68.04401277618013,0.007433068786963155
46,3,9,-765.9372526818672,1212.4398540899258,0.007433068786963155
47,3,10,-765.9372526818672,68.04401277618013,0.007433068786963155
48,3,11,-765.9372526818672,68.04401277618013,0.007433068786963155
49,3,13,-765.9372526818672,68.04401277618013,0.007433068786963155
50,3,14,-765.9372526818672,68.04401277618013,0.007433068786963155
51,3,15,-765.9372526818672,1212.4398540899258,0.007433068786963155
52,3,16,-765.9372526818672,68.04401277618013,0.007433068786963155
53,3,17,-765.9372526818672,68.04401277618013,0.007433068786963155
54,3,21,-765.9372526818672,1212.4398540899258,0.007433068786963155
55,4,1,-765.9372526818672,49.80335600716456,0.007433068786963155
56,4,2,-765.9372526818672,49.80335600716456,0.007433068786963155
57,4,3,-765.9372526818672,49.80335600716456,0.007433068786963155
58,4,5,-765.9372526818672,49.80335600716456,0.007433068786963155
59,4,8,-765.9372526818672,68.04401277618013,0.007433068786963155
60,4,9,-765.9372526818672,68.04401277618013,0.007433068786963155
61,4,10,-765.9372526818672,1212.4398540899258,0.007433068786963155
62,4,11,-765.9372526818672,68.04401277618013,0.007433068786963155
63,4,14,-765.9372526818672,68.04401277618013,0.007433068786963155
64,4,15,-765.9372526818672,68.04401277618013,0.007433068786963155
65,4,16,-765.9372526818672,1212.4398540899258,0.007433068786963155
66,4,17,-765.9372526818672,68.04401277618013,0.007433068786963155
67,4,22,-765.9372526818672,1212.4398540899258,0.007433068786963155
68,5,2,-765.9372526818672,49.80335600716456,0.007433068786963155
69,5,3,-765.9372526818672,49.80335600716456,0.007433068786963155
70,5,4,-765.9372526818672,49.80335600716456,0.007433068786963155
71,5,9,-765.9372526818672,68.04401277618013,0.007433068786963155
72,5,10,-765.9372526818672,68.04401277618013,0.007433068786963155
73,5,11,-765.9372526818672,1212.4398540899258,0.007433068786963155
74,5,15,-765.9372526818672,68.04401277618013,0.007433068786963155
75,5,16,-765.9372526818672,68.04401277618013,0.007433068786963155
76,5,17,-765.9372526818672,1212.4398540899258,0.007433068786963155
77,5,23,-765.9372526818672,1212.4398540899258,0.007433068786963155
78,6,0,-765.9372526818672,1212.4398540899258,0.007433068786963155
79,6,1,-765.9372526818672,68.04401277618013,0.007433068786963155
80,6,2,-765.9372526818672,68.04401277618013,0.007433068786963155
81,6,7,-765.9372526818672,49.80335600716456,0.007433068786963155
82,6,8,-765.9372526818672,49.80335600716456,0.007433068786963155
83,6,9,-765.9372526818672,49.80335600716456,0.007433068786963155
84,6,12,-765.9372526818672,1212.4398540899258,0.007433068786963155
85,6,13,-765.9372526818672,68.04401277618013,0.007433068786963155
86,6,14,-765.9372526818672,68.04401277618013,0.007433068786963155
87,6,18,-765.9372526818672,1212.4398540899258,0.007433068786963155
88,6,19,-765.9372526818672,68.04401277618013,0.007433068786963155
89,6,20,-765.9372526818672,68.04401277618013,0.007433068786963155
90,6,24,-765.9372526818672,1212.4398540899258,0.007433068786963155
91,7,0,-765.9372526818672,68.04401277618013,0.007433068786963155
92,7,1,-765.9372526818672,1212.4398540899258,0.007433068786963155
93,7,2,-765.9372526818672,68.04401277618013,0.007433068786963155
94,7,3,-765.9372526818672,68.04401277618013,0.007433068786963155
95,7,6,-765.9372526818672,49.80335600716456,0.007433068786963155
96,7,8,-765.9372526818672,49.80335600716456,0.007433068786963155
97,7,9,-765.9372526818672,49.80335600716456,0.007433068786963155
98,7,10,-765.9372526818672,49.80335600716456,0.007433068786963155
99,7,12,-765.9372526818672,68.04401277618013,0.007433068786963155
100,7,13,-765.9372526818672,1212.4398540899258,0.007433068786963155
101,7,14,-765.9372526818672,68.04401277618013,0.007433068786963155
102,7,15,-765.9372526818672,68.04401277618013,0.007433068786963155
103,7,18,-765.9372526818672,68.04401277618013,0.007433068786963155
104,7,19,-765.9372526818672,1212.4398540899258,0.007433068786963155
105,7,20,-765.9372526818672,68.04401277618013,0.007433068786963155
106,7,21,-765.9372526818672,68.04401277618013,0.007433068786963155
107,7,25,-765.9372526818672,1212.4398540899258,0.007433068786963155
108,8,0,-765.9372526818672,68.04401277618013,0.007433068786963155
109,8,1,-765.9372526818672,68.04401277618013,0.007433068786963155
110,8,2,-765.9372526818672,1212.4398540899258,0.007433068786963155
111,8,3,-765.9372526818672,68.04401277618013,0.007433068786963155
112,8,4,-765.9372526818672,68.04401277618013,0.007433068786963155
113,8,6,-765.9372526818672,49.80335600716456,0.007433068786963155
114,8,7,-765.9372526818672,49.80335600716456,0.007433068786963155
115,8,9,-765.9372526818672,49.80335600716456,0.007433068786963155
116,8,10,-765.9372526818672,49.80335600716456,0.007433068786963155
117,8,11,-765.9372526818672,49.80335600716456,0.007433068786963155
118,8,12,-765.9372526818672,68.04401277618013,0.007433068786963155
119,8,13,-765.9372526818672,68.04401277618013,0.007433068786963155
120,8,14,-765.9372526818672,1212.4398540899258,0.007433068786963155
121,8,15,-765.9372526818672,68.04401277618013,0.007433068786963155
122,8,16,-765.9372526818672,68.04401277618013,0.007433068786963155
123,8,18,-765.9372526818672,68.04401277618013,0.007433068786963155
124,8,19,-765.9372526818672,68.04401277618013,0.007433068786963155
125,8,20,-765.9372526818672,1212.4398540899258,0.007433068786963155
126,8,21,-765.9372526818672,68.04401277618013,0.007433068786963155
127,8,22,-765.9372526818672,68.04401277618013,0.007433068786963155
128,8,26,-765.9372526818672,1212.4398540899258,0.007433068786963155
129,9,1,-765.9372526818672,68.04401277618013,0.007433068786963155
130,9,2,-765.9372526818672,68.04401277618013,0.007433068786963155
131,9,3,-765.9372526818672,1212.4398540899258,0.007433068786963155
132,9,4,-765.9372526818672,68.04401277618013,0.007433068786963155
133,9,5,-765.9372526818672,68.04401277618013,0.007433068786963155
134,9,6,-765.9372526818672,49.80335600716456,0.007433068786963155
135,9,7,-765.9372526818672,49.80335600716456,0.007433068786963155
136,9,8,-765.9372526818672,49.80335600716456,0.007433068786963155
137,9,10,-765.9372526818672,49.80335600716456,0.007433068786963155
138,9,11,-765.9372526818672,49.80335600716456,0.007433068786963155
139,9,13,-765.9372526818672,68.04401277618013,0.007433068786963155
140,9,14,-765.9372526818672,68.04401277618013,0.007433068786963155
141,9,15,-765.9372526818672,1212.4398540899258,0.007433068786963155
142,9,16,-765.9372526818672,68.04401277618013,0.007433068786963155
143,9,17,-765.9372526818672,68.04401277618013,0.007433068786963155
144,9,19,-765.9372526818672,68.04401277618013,0.007433068786963155
145,9,20,-765.9372526818672,68.04401277618013,0.007433068786963155
146,9,21,-765.9372526818672,1212.4398540899258,0.007433068786963155
147,9,22,-765.9372526818672,68.04401277618013,0.007433068786963155
148,9,23,-765.9372526818672,68.04401277618013,0.007433068786963155
149,9,27,-765.9372526818672,1212.4398540899258,0.007433068786963155
150,10,2,-765.9372526818672,68.04401277618013,0.007433068786963155
151,10,3,-765.9372526818672,68.04401277618013,0.007433068786963155
152,10,4,-765.9372526818672,1212.4398540899258,0.007433068786963155
153,10,5,-765.9372526818672,68.04401277618013,0.007433068786963155
154,10,7,-765.9372526818672,49.80335600716456,0.007433068786963155
155,10,8,-765.9372526818672,49.80335600716456,0.007433068786963155
156,10,9,-765.9372526818672,49.80335600716456,0.007433068786963155
157,10,11,-765.9372526818672,49.80335600716456,0.007433068786963155
158,10,14,-765.9372526818672,68.04401277618013,0.007433068786963155
159,10,15,-765.9372526818672,68.04401277618013,0.007433068786963155
160,10,16,-765.9372526818672,1212.4398540899258,0.007433068786963155
161,10,17,-765.9372526818672,68.04401277618013,0.007433068786963155
