,coord1,coord2,volume,dii1,dii2,from,to
0,-74.8125,-1.3125,3.515625,1159923.9513422174,1159923.9513422174,0,10
1,-74.8125,-0.9375,3.515625,1159923.9513422174,1159923.9513422174,10,23
2,-74.8125,-0.5625,3.515625,1159923.9513422174,1159923.9513422174,23,39
3,-74.8125,-0.1875,3.515625,1159923.9513422174,1159923.9513422174,39,56
4,-74.8125,0.1875,3.515625,1159923.9513422174,1159923.9513422174,56,73
5,-74.8125,0.5625,3.515625,1159923.9513422174,1159923.9513422174,73,89
6,-74.8125,0.9375,3.515625,1159923.9513422174,1159923.9513422174,89,102
7,-74.8125,1.3125,3.515625,1159923.9513422174,1159923.9513422174,102,112
8,-74.4375,-1.3125,3.515625,1159923.9513422174,1159923.9513422174,112,125
9,-74.4375,-0.9375,3.515625,1159923.9513422174,1159923.9513422174,125,142
10,-74.4375,-0.5625,3.515625,1159923.9513422174,1159923.9513422174,142,163
11,-74.4375,-0.1875,3.515625,1159923.9513422174,1159923.9513422174,163,185
12,-74.4375,0.1875,3.515625,1159923.9513422174,1159923.9513422174,185,207
13,-74.4375,0.5625,3.515625,1159923.9513422174,1159923.9513422174,207,228
14,-74.4375,0.9375,3.515625,1159923.9513422174,1159923.9513422174,228,245
15,-74.4375,1.3125,3.515625,1159923.9513422174,1159923.9513422174,245,258
16,-74.0625,-1.3125,3.515625,1159923.9513422174,1159923.9513422174,258,274
17,-74.0625,-0.9375,3.515625,1159923.9513422174,1159923.9513422174,274,295
18,-74.0625,-0.5625,3.515625,1159923.9513422174,1159923.9513422174,295,321
19,-74.0625,-0.1875,3.515625,1159923.9513422174,1159923.9513422174,321,348
20,-74.0625,0.1875,3.515625,1159923.9513422174,1159923.9513422174,348,375
21,-74.0625,0.5625,3.515625,1159923.9513422174,1159923.9513422174,375,401
22,-74.0625,0.9375,3.515625,1159923.9513422174,1159923.9513422174,401,422
23,-74.0625,1.3125,3.515625,1159923.9513422174,1159923.9513422174,422,438
24,-73.6875,-1.3125,3.515625,1159923.9513422174,1159923.9513422174,438,455
25,-73.6875,-0.9375,3.515625,1159923.9513422174,1159923.9513422174,455,477
26,-73.6875,-0.5625,3.515625,1159923.9513422174,1159923.9513422174,477,504
27,-73.6875,-0.1875,3.515625,1159923.9513422174,1159923.9513422174,504,532
28,-73.6875,0.1875,3.515625,1159923.9513422174,1159923.9513422174,532,560
29,-73.6875,0.5625,3.515625,1159923.9513422174,1159923.9513422174,560,587
30,-73.6875,0.9375,3.515625,1159923.9513422174,1159923.9513422174,587,609
31,-73.6875,1.3125,3.515625,1159923.9513422174,1159923.9513422174,609,626
32,-73.3125,-1.3125,3.515625,1159923.9513422174,1159923.9513422174,626,643
33,-73.3125,-0.9375,3.515625,1159923.9513422174,1159923.9513422174,643,665
34,-73.3125,-0.5625,3.515625,1159923.9513422174,1159923.9513422174,665,692
35,-73.3125,-0.1875,3.515625,1159923.9513422174,1159923.9513422174,692,720
