,coord1,coord2,volume,dii1,dii2,from,to
0,-74.75,-1.25,6.25,652457.2226299973,652457.2226299973,0,10
1,-74.75,-0.75,6.25,652457.2226299973,652457.2226299973,10,23
2,-74.75,-0.25,6.25,652457.2226299973,652457.2226299973,23,39
3,-74.75,0.25,6.25,652457.2226299973,652457.2226299973,39,55
4,-74.75,0.75,6.25,652457.2226299973,652457.2226299973,55,68
5,-74.75,1.25,6.25,652457.2226299973,652457.2226299973,68,78
6,-74.25,-1.25,6.25,652457.2226299973,652457.2226299973,78,91
7,-74.25,-0.75,6.25,652457.2226299973,652457.2226299973,91,108
8,-74.25,-0.25,6.25,652457.2226299973,652457.2226299973,108,129
9,-74.25,0.25,6.25,652457.2226299973,652457.2226299973,129,150
10,-74.25,0.75,6.25,652457.2226299973,652457.2226299973,150,167
11,-74.25,1.25,6.25,652457.2226299973,652457.2226299973,167,180
12,-73.75,-1.25,6.25,652457.2226299973,652457.2226299973,180,196
13,-73.75,-0.75,6.25,652457.2226299973,652457.2226299973,196,217
14,-73.75,-0.25,6.25,652457.2226299973,652457.2226299973,217,243
15,-73.75,0.25,6.25,652457.2226299973,652457.2226299973,243,269
16,-73.75,0.75,6.25,652457.2226299973,652457.2226299973,269,290
17,-73.75,1.25,6.25,652457.2226299973,652457.2226299973,290,306
18,-73.25,-1.25,6.25,652457.2226299973,652457.2226299973,306,323
19,-73.25,-0.75,6.25,652457.2226299973,652457.2226299973,323,345
20,-73.25,-0.25,6.25,652457.2226299973,652457.2226299973,345,372
21,-73.25,0.25,6.25,652457.2226299973,652457.2226299973,372,399
22,-73.25,0.75,6.25,652457.2226299973,652457.2226299973,399,421
23,-73.25,1.25,6.25,652457.2226299973,652457.2226299973,421,438
24,-72.75,-1.25,6.25,652457.2226299973,652457.2226299973,438,455
25,-72.75,-0.75,6.25,652457.2226299973,652457.2226299973,455,477
26,-72.75,-0.25,6.25,652457.2226299973,652457.2226299973,477,504
27,-72.75,0.25,6.25,652457.2226299973,652457.2226299973,504,531
28,-72.75,0.75,6.25,652457.2226299973,652457.2226299973,531,553
29,-72.75,1.25,6.25,652457.2226299973,652457.2226299973,553,570
30,-72.25,-1.25,6.25,652457.2226299973,652457.2226299973,570,587
