,coord1,coord2,volume,dii1,dii2,from,to
0,-49.5,-49.5,1.0,83186.49247909937,83186.49247909938,0,10
1,-49.5,-48.5,1.0,106705.18668784999,127610.69265118385,10,23
2,-49.5,-47.5,1.0,118464.53379222528,157662.3574734763,23,39
3,-49.5,-46.5,1.0,118464.53379222528,166372.98495819877,39,56
4,-49.5,-45.5,1.0,118464.53379222528,166372.98495819877,56,73
5,-49.5,-44.5,1.0,118464.53379222528,166372.98495819877,73,90
6,-49.5,-43.5,1.0,118464.53379222528,166372.98495819877,90,107
7,-49.5,-42.5,1.0,118464.53379222528,166372.98495819877,107,124
8,-49.5,-41.5,1.0,118464.53379222528,166372.98495819877,124,141
9,-49.5,-40.5,1.0,118464.53379222528,166372.98495819877,141,158
10,-49.5,-39.5,1.0,118464.53379222528,166372.98495819877,158,175
11,-49.5,-38.5,1.0,118464.53379222528,166372.98495819877,175,192
12,-49.5,-37.5,1.0,118464.53379222528,166372.98495819877,192,209
13,-49.5,-36.5,1.0,118464.53379222528,166372.98495819877,209,226
14,-49.5,-35.5,1.0,118464.53379222528,166372.98495819877,226,243
15,-49.5,-34.5,1.0,118464.53379222528,166372.98495819877,243,260
16,-49.5,-33.5,1.0,118464.53379222528,166372.98495819877,260,277
17,-49.5,-32.5,1.0,118464.53379222528,166372.98495819877,277,294
18,-49.5,-31.5,1.0,118464.53379222528,166372.98495819877,294,311
19,-49.5,-30.5,1.0,118464.53379222528,166372.98495819877,311,328
20,-49.5,-29.5,1.0,118464.53379222528,166372.98495819877,328,345
21,-49.5,-28.5,1.0,118464.53379222528,166372.98495819877,345,362
22,-49.5,-27.5,1.0,118464.53379222528,166372.98495819877,362,379
23,-49.5,-26.5,1.0,118464.53379222528,166372.98495819877,379,396
24,-49.5,-25.5,1.0,118464.53379222528,166372.98495819877,396,413
25,-49.5,-24.5,1.0,118464.53379222528,166372.98495819877,413,430
26,-49.5,-23.5,1.0,118464.53379222528,166372.98495819877,430,447
27,-49.5,-22.5,1.0,118464.53379222528,166372.98495819877,447,464
28,-49.5,-21.5,1.0,118464.53379222528,166372.98495819877,464,481
29,-49.5,-20.5,1.0,118464.53379222528,166372.98495819877,481,498
30,-49.5,-19.5,1.0,118464.53379222528,166372.98495819877,498,515
31,-49.5,-18.5,1.0,118464.53379222528,166372.98495819877,515,532
32,-49.5,-17.5,1.0,118464.53379222528,166372.98495819877,532,549
33,-49.5,-16.5,1.0,118464.53379222528,166372.98495819877,549,566
34,-49.5,-15.5,1.0,118464.53379222528,166372.98495819877,566,583
35,-49.5,-14.5,1.0,118464.53379222528,166372.98495819877,583,600
36,-49.5,-13.5,1.0,118464.53379222528,166372.98495819877,600,617
37,-49.5,-12.5,1.0,118464.53379222528,166372.98495819877,617,634
38,-49.5,-11.5,1.0,118464.53379222528,166372.98495819877,634,651
39,-49.5,-10.5,1.0,118464.53379222528,166372.98495819877,651,668
40,-49.5,-9.5,1.0,118464.53379222528,166372.98495819877,668,685
41,-49.5,-8.5,1.0,118464.53379222528,166372.98495819877,685,702
42,-49.5,-7.5,1.0,118464.53379222528,166372.98495819877,702,719
43,-49.5,-6.5,1.0,118464.53379222528,166372.98495819877,719,736
44,-49.5,-5.5,1.0,118464.53379222528,166372.98495819877,736,753
45,-49.5,-4.5,1.0,118464.53379222528,166372.98495819877,753,770
46,-49.5,-3.5,1.0,118464.53379222528,166372.98495819877,770,787
47,-49.5,-2.5,1.0,118464.53379222528,166372.98495819877,787,804
48,-49.5,-1.5,1.0,118464.53379222528,166372.98495819877,804,821
49,-49.5,-0.5,1.0,118464.53379222528,166372.98495819877,821,838
50,-49.5,0.5,1.0,118464.53379222528,166372.98495819877,838,855
51,-49.5,1.5,1.0,118464.53379222528,166372.98495819877,855,872
52,-49.5,2.5,1.0,118464.53379222528,166372.98495819877,872,889
53,-49.5,3.5,1.0,118464.53379222528,166372.98495819877,889,906
54,-49.5,4.5,1.0,118464.53379222528,166372.98495819877,906,923
55,-49.5,5.5,1.0,118464.53379222528,166372.98495819877,923,940
56,-49.5,6.5,1.0,118464.53379222528,166372.98495819877,940,957
57,-49.5,7.5,1.0,118464.53379222528,166372.98495819877,957,974
58,-49.5,8.5,1.0,118464.53379222528,166372.98495819877,974,991
59,-49.5,9.5,1.0,118464.53379222528,166372.98495819877,991,1008
60,-49.5,10.5,1.0,118464.53379222528,166372.98495819877,1008,1025
61,-49.5,11.5,1.0,118464.53379222528,166372.98495819877,1025,1042
62,-49.5,12.5,1.0,118464.53379222528,166372.98495819877,1042,1059
63,-49.5,13.5,1.0,118464.53379222528,166372.98495819877,1059,1076
64,-49.5,14.5,1.0,118464.53379222528,166372.98495819877,1076,1093
65,-49.5,15.5,1.0,118464.53379222528,166372.98495819877,1093,1110
66,-49.5,16.5,1.0,118464.53379222528,166372.98495819877,1110,1127
67,-49.5,17.5,1.0,118464.53379222528,166372.98495819877,1127,1144
68,-49.5,18.5,1.0,118464.53379222528,166372.98495819877,1144,1161
69,-49.5,19.5,1.0,118464.53379222528,166372.98495819877,1161,1178
70,-49.5,20.5,1.0,118464.53379222528,166372.98495819877,1178,1195
71,-49.5,21.5,1.0,118464.53379222528,166372.98495819877,1195,1212
72,-49.5,22.5,1.0,118464.53379222528,166372.98495819877,1212,1229
73,-49.5,23.5,1.0,118464.53379222528,166372.98495819877,1229,1246
74,-49.5,24.5,1.0,118464.53379222528,166372.98495819877,1246,1263
75,-49.5,25.5,1.0,118464.53379222528,166372.98495819877,1263,1280
76,-49.5,26.5,1.0,118464.53379222528,166372.98495819877,1280,1297
77,-49.5,27.5,1.0,118464.53379222528,166372.98495819877,1297,1314
78,-49.5,28.5,1.0,118464.53379222528,166372.98495819877,1314,1331
79,-49.5,29.5,1.0,118464.53379222528,166372.98495819877,1331,1348
80,-49.5,30.5,1.0,118464.53379222528,166372.98495819877,1348,1365
81,-49.5,31.5,1.0,118464.53379222528,166372.98495819877,1365,1382
82,-49.5,32.5,1.0,118464.53379222528,166372.98495819877,1382,1399
83,-49.5,33.5,1.0,118464.53379222528,166372.98495819877,1399,1416
